Genre,Espèce,Nom vernaculaire,Famille,Types de projet,Périodicité,Propriétés,Feuillage,Récolte,Floraison couleur,Floraison Couleur Normalisé,Floraison période,Saison de Floraison,Hauteur,Hauteur Normalisé,Plantation,Saison de Plantation,Exposition,Sol,Entretien,Multiplication,Commentaire
Abelia,grandiflora,Abélia,Caprifoliacées,Trottoirs,,arbuste feuillage persistant à semi-persistant,"persistant,semi-persistant",,rose pâle,rose,juin - octobre,"été,automne",100 à 200 cm,Plus de 80 cm,"printemps, automne","printemps,automne","soleil,mi-ombre",léger,taille au début du printemps,,
Achillea,millefolium,Achillée,Astéracées,"Trottoirs,Mobilier urbain",vivace,"vivace,mellifère",,,"rose,jaune,blanc",blanc,juillet - septembre,été,50 à 120 cm,"Plus de 80 cm,Entre 50 cm et 80 cm",printemps,printemps,soleil,bien drainé,supprimer les fleurs fanées,division ou semis au printemps,
Alcea,rosea,Rose trémière,Malvacées,Pieds d'arbres,vivace,"vivace,mellifère",,,toutes couleurs,"rose,blanc,jaune,violet,bleu,rouge,orange",juin à septembre,été,120 à 250 cm,Plus de 80 cm,printemps,printemps,soleil,tous,"tuteurer, couper les tiges en fin de saison",semis au printemps,
Alchemilla,mollis,Alchemille molle,Rosacées,"Pieds d'arbres,Mobilier urbain",vivace,"vivace,couvre sol",,,jaunes verdâtres,"jaune,vert","juin, aout",été,15 à 40 cm,Moins de 50 cm,"automne, fin hiver début du printemps","automne,printemps","soleil,mi-ombre,ombre","frais,bien drainé",rabattre après floraison pour favoriser la repousse d'une belle touffe de feuillage,division au printemps et semis toute l'année,s'adapte lorsqu'il n'y a pas de profondeur
Allium,schoenoprasum,Ciboulette,Liliacées,Mobilier urbain,vivace,vivace rustique,,toute l'année,,,été,été,20 à 30 cm,Moins de 50 cm,Semis mars avril,printemps,"soleil,mi-ombre","bien drainé,riche,frais,argileux",,Ressème naturellement si l'emplacement lui convient,
Anethum,graveolens,Aneth,Apiacées,"Trottoirs,Mobilier urbain",annuelle,annuelle,,,jaune,jaune,,,50 à 60 cm,Entre 50 cm et 80 cm,printemps,printemps,soleil,"léger,ordinaire",,semis d'avril à juin,
Antirrhinum,majus,Muflier,Scrophulariacées,Pieds d'arbres,annuelle,annuelle,,,"blanc,rouge,jaune,rose,violet,bleue",,,,15 à 100 cm,"Moins de 50 cm,Entre 50 cm et 80 cm,Plus de 80 cm",printemps à automne,"printemps,été,automne",soleil,tous,éliminer les fleurs fanées,,
Arabis,alpina,Arabette,Brassicacées,"Trottoirs,Mobilier urbain",vivace,"vivace,feuillage persistant,mellifère",persistant,,blanche,blanc,avril - juin,printemps,30 cm,Moins de 50 cm,printemps - automne,"printemps,été,automne",soleil,"léger,bien drainé","facile, résiste bien à la sécheresse","semis printemps, sous abri (mi ombre)",
Armeria,juniperifolia,Armerie à feuilles de genévrier,Plumbaginacées,Mobilier urbain,vivace,"vivace,mellifère",,,rose,rose,avril à juillet,"été,printemps",8 cm,Moins de 50 cm,"mars, avril",printemps,soleil,bien drainé,supprimer les fleurs fanées,division ou semis au printemps,
Artemisia,schmidtiana,Armoise naine de Schmidt,Astéracées,Mobilier urbain,vivace,vivace,,,jaune,jaune,été,été,8 à 30 cm,Moins de 50 cm,Printemps,printemps,soleil,léger,aucun,bouturage au printemps et en été,
